Year,ED_NAME,AGE_GROUP,PARTICIPATION,REGISTERED_VOTERS,RATIO_PARTICIPATION,Total male population (000s),Total female population (000s),Total population (000s),Median age,Sex ratio,Median age at death,Total fertility,Child dependency,Elderly dependency,Total dependency
2005,Abbotsford-Clayburn,18-24,1433,2788,0.51,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Clayburn,25-34,2157,5055,0.43,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Clayburn,35-44,3376,6273,0.54,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Clayburn,45-54,3739,5932,0.63,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Clayburn,55-64,2838,4071,0.7,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Clayburn,65-74,2363,3079,0.77,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Clayburn,75+,2725,4114,0.66,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,18-24,1590,3264,0.49,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,25-34,2511,5924,0.42,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,35-44,3646,6827,0.53,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,45-54,3816,6118,0.62,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,55-64,3125,4433,0.7,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,65-74,2630,3543,0.74,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Abbotsford-Mount Lehman,75+,2523,4117,0.61,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Alberni-Qualicum,18-24,1288,2284,0.56,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2005,Alberni-Qualicum,25-34,1934,4142,0.47,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
