Year,Population,Value
1971,Total male population (000s),1133.0
1972,Total male population (000s),1162.8
1973,Total male population (000s),1194.3
1974,Total male population (000s),1231.2
1975,Total male population (000s),1258.2
1976,Total male population (000s),1272.8
1977,Total male population (000s),1289.0
1978,Total male population (000s),1310.0
1979,Total male population (000s),1332.9
1980,Total male population (000s),1372.9
1981,Total male population (000s),1413.3
1982,Total male population (000s),1437.4
1983,Total male population (000s),1451.6
1984,Total male population (000s),1470.1
1985,Total male population (000s),1482.4
1986,Total male population (000s),1495.1
1987,Total male population (000s),1516.9
1988,Total male population (000s),1549.0
1989,Total male population (000s),1589.7
1990,Total male population (000s),1637.9
1991,Total male population (000s),1681.6
1992,Total male population (000s),1727.6
1993,Total male population (000s),1776.9
1994,Total male population (000s),1832.2
1995,Total male population (000s),1884.3
1996,Total male population (000s),1929.3
1997,Total male population (000s),1965.5
1998,Total male population (000s),1980.5
1999,Total male population (000s),1992.6
2000,Total male population (000s),2005.4
2001,Total male population (000s),2023.4
2002,Total male population (000s),2033.1
2003,Total male population (000s),2044.1
2004,Total male population (000s),2058.4
2005,Total male population (000s),2078.9
2006,Total male population (000s),2101.3
2007,Total male population (000s),2127.6
2008,Total male population (000s),2158.8
2009,Total male population (000s),2191.1
2010,Total male population (000s),2219.7
2011,Total male population (000s),2236.8
2012,Total male population (000s),2259.3
2013,Total male population (000s),2280.5
2014,Total male population (000s),2307.7
2015,Total male population (000s),2330.0
2016,Total male population (000s),2361.0
2017,Total male population (000s),2389.5
2018,Total male population (000s),2411.7
2019,Total male population (000s),2437.7
2020,Total male population (000s),2464.6
2021,Total male population (000s),2491.9
2022,Total male population (000s),2519.7
2023,Total male population (000s),2547.6
2024,Total male population (000s),2575.5
2025,Total male population (000s),2603.2
2026,Total male population (000s),2631.4
2027,Total male population (000s),2660.0
2028,Total male population (000s),2688.1
2029,Total male population (000s),2715.7
2030,Total male population (000s),2742.9
2031,Total male population (000s),2769.5
2032,Total male population (000s),2796.0
2033,Total male population (000s),2822.2
2034,Total male population (000s),2847.5
2035,Total male population (000s),2872.1
2036,Total male population (000s),2896.5
2037,Total male population (000s),2920.4
2038,Total male population (000s),2944.0
2039,Total male population (000s),2967.1
2040,Total male population (000s),2989.8
2041,Total male population (000s),3012.2
1971,Total female population (000s),1107.5
1972,Total female population (000s),1139.3
1973,Total female population (000s),1172.9
1974,Total female population (000s),1211.3
1975,Total female population (000s),1241.3
1976,Total female population (000s),1261.1
1977,Total female population (000s),1281.3
1978,Total female population (000s),1305.2
1979,Total female population (000s),1332.3
1980,Total female population (000s),1373.0
1981,Total female population (000s),1413.2
1982,Total female population (000s),1439.1
