REF_DATE,GEO,DGUID,Statistic,Age of reference person,"Household expenditures, summary-level categories",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,59001,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,64155,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,61681,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,69276,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,63885,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,72576,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,70565,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,76932,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Total expenditure,Dollars,81,units,0,v54531042,1.1.2.1,75093,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,6955,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,6530,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,6090,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,7532,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,6480,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,7285,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,7484,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,8004,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Food expenditures,Dollars,81,units,0,v54531044,1.1.2.3,8087,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,13519,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,15143,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,15004,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,15258,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,14848,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,17306,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,17251,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,18207,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Shelter,Dollars,81,units,0,v54531047,1.1.2.6,18562,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household operations,Dollars,81,units,0,v54531053,1.1.2.12,3403,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household operations,Dollars,81,units,0,v54531053,1.1.2.12,3640,,,,0
